endTime,artistName,trackName,msPlayed
2022-07-04 19:13,D'Prince,So Nice,178957
2022-07-04 19:17,Dexta Daps,Weak To You,11576
2022-07-04 19:17,B Young,Jumanji Remix,2940
2022-07-04 19:17,NSG,Options,240081
2022-07-04 19:18,Ms Banks,Snack,33210
2022-07-04 19:25,King Promise,Selfish,176980
2022-07-04 19:25,Seyi Shay,Gimme Love,680
2022-07-04 20:00,Krept & Konan,Crepes And Cones (Ya Dun Know),230452
2022-07-04 20:19,Rowlene,Hypnotise,147515
2022-07-04 20:23,Hit The Button Karaoke,Butterfly Effect (Originally Performed by Travis Scott) - Instrumental Version,960
2022-07-04 20:23,WSTRN,Medusa (feat. Unknown T),360
2022-07-04 20:23,Musa Keys,Selema (Po Po),237270
2022-07-04 20:23,DJ Neptune,Nobody,1080
2022-07-04 20:27,Wretch 32,Spin Around,165006
2022-07-04 20:30,Justine Skye,U Don't Know,189639
2022-07-04 20:34,Aidonia,Yeah Yeah,460
2022-07-04 20:34,Styl-Plus,Imagine That,530
2022-07-04 20:34,Patoranking,Suh Different,2440
2022-07-04 20:34,NAV,Tap (feat. Meek Mill),680
2022-07-04 20:34,Mut4y,Bad,2660
2022-07-04 20:34,2Baba,Opo (feat. Wizkid),227970
2022-07-04 20:34,Sam Feldt,Show Me Love - EDX Remix / Radio Edit,2408
2022-07-04 20:35,Styl-Plus,Imagine That,77690
2022-07-04 21:00,Aidonia,Yeah Yeah,222222
2022-07-04 21:04,Afro B,Fine Wine & Hennessy,2845
2022-07-04 21:04,Kodak Black,ZEZE (feat. Travis Scott & Offset),228758
2022-07-04 21:06,SPINALL,PALAZZO,112960
2022-07-04 21:09,Spice,Cool It,155637
2022-07-04 21:09,Rihanna,Cheers (Drink To That),8120
2022-07-04 21:13,Nasty C,Said (Coke Studio Africa),7940
2022-07-04 21:13,AlunaGeorge,Attracting Flies,188957
2022-07-04 21:42,One Acen,EIO (feat. Hardy Caprio),195662
2022-07-04 21:45,Ejoya,HEAR AM,190651
2022-07-04 22:01,Octavian,Famous,237051
2022-07-04 22:05,Summer Walker,No Love (with SZA),231497
2022-07-04 22:09,Yungen,Comfortable (feat. Dappy),227599
2022-07-04 22:12,Lord B,Kilonso,182569
2022-07-04 22:15,Yxng Bane,Vroom,221538
2022-07-04 22:16,Central Cee,Ruby,4036
2022-07-04 22:44,Central Cee,Ruby,201559
2022-07-04 22:45,Demarco,Backaz,63050
2022-07-04 22:46,Dotman,My Woman,30990
2022-07-04 22:50,Burna Boy,Wetin Dey Sup,217652
2022-07-04 22:53,Wizkid,Shabba,210154
2022-07-04 22:54,Burna Boy,Like to Party,64268
2022-07-04 22:55,Kendrick Lamar,All The Stars (with SZA),27290
2022-07-04 22:56,Rema,Fame - A COLORS ENCORE,111074
2022-07-04 22:59,Oxlade,HOLD ON,151455
2022-07-04 23:03,Future,Life Is Good (feat. Drake),237735
2022-07-04 23:19,Pop Smoke,Element,135745
2022-07-04 23:27,Jay Rock,"King's Dead (with Kendrick Lamar, Future & James Blake)",229669
2022-07-04 23:30,Mahalia,Simmer (feat. Burna Boy),167185
2022-07-04 23:33,Rema,Soundgasm,204754
2022-07-04 23:36,One Acen,Nigeria (feat. CallMeTheKidd),157243
2022-07-04 23:38,Boj,Tinu Ewe,127346
2022-07-04 23:41,Stay Flee Get Lizzy,Ay Caramba,211524
2022-07-04 23:45,Praiz,Body Hot,216136
2022-07-04 23:49,Doja Cat,Need to Know,210559
2022-07-04 23:59,Cruel Santino,HEATING ROCKS,171577
2022-07-05 00:05,Mfr Souls,"Amanikiniki (feat. Major League Djz, Kamo Mphela & Bontle Smith)",348531
2022-07-05 00:08,ZieZie,Sensei,166336
2022-07-05 00:10,Runtown,Tradition,153468
2022-07-05 00:13,Pop Smoke,Enjoy Yourself (feat. Karol G),176444
2022-07-05 00:17,Young T & Bugsey,Don't Rush (feat. Headie One),207638
2022-07-05 00:20,L.A.X,Run Away,188812
2022-07-05 00:23,Blaqbonez,Fendi (feat. Joeboy),185116
2022-07-05 00:27,Chris Brown,Deuces (feat. Tyga & Kevin McCall),276560
2022-07-05 00:33,A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),205039
2022-07-05 00:35,T MULLA,Droptop,162134
2022-07-05 00:39,Nines,Airplane Mode (feat. NSG),237784
2022-07-05 00:42,Maleek Berry,The Matter (feat. Wizkid),165910
2022-07-05 00:45,J Hus,Repeat (feat. Koffee),153145
2022-07-05 00:47,Don Toliver,No Idea,154423
2022-07-05 00:51,Cruel Santino,WICKED CITY (feat. Gus Dapperton),217275
2022-07-05 00:54,Krept & Konan,Pour Me Another One,209807
2022-07-05 00:57,Octavian,Lit (feat. A$AP Ferg),186165
2022-07-05 00:58,Tems,Looku Looku,12871
2022-07-05 01:01,One Acen,Piña Colada Xperience,194973
2022-07-05 01:06,Fireboy DML,Sound,207159
2022-07-05 01:10,Travis Scott,STARGAZING,270714
2022-07-05 02:08,Rema,Iron Man,201692
2022-07-05 02:08,Boj,Money & Laughter,4790
2022-07-05 16:53,D'Prince,So Nice,441
2022-07-05 16:56,Victony,All Power,192284
2022-07-05 16:59,Olamide,Plenty (feat. Fireboy DML),169624
2022-07-05 17:02,Robinson,Ayo Girl (Fayahh Beat) [feat. Rema],165215
2022-07-05 17:05,Fireboy DML,Energy,213599
2022-07-05 17:08,Nonso Amadi,Dial Me,138112
2022-07-05 17:10,A1 x J1,Latest Trends (feat. Aitch) - Remix,157999
2022-07-05 17:12,Bad Boy Timz,Have Fun,136776
2022-07-05 17:16,YG,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",237239
2022-07-05 17:17,Jhené Aiko,Sativa,1811
2022-07-05 17:17,Lorde,Perfect Places,13178
2022-07-05 17:17,Vybz Kartel,Any Weather,371
2022-07-05 17:17,Nicki Minaj,Rich Sex (feat. Lil Wayne),928
2022-07-05 17:17,Meek Mill,All Eyes on You (feat. Chris Brown & Nicki Minaj),162
2022-07-05 17:17,Victony,kolomental,1300
2022-07-05 17:17,Nicki Minaj,Barbie Dreams,789
2022-07-05 17:20,Stony,Pon U Ruff,789
2022-07-05 17:20,Oxlade,O2,673
2022-07-05 17:20,Bhad Bhabie,Hi Bich,766
2022-07-05 17:20,Cuppy,Karma,1486
2022-07-05 17:20,CKay,love nwantiti (ah ah ah),16962
2022-07-05 17:20,DING DONG,Fling,835
2022-07-05 17:20,Harmonize,Kainama (feat. Burna Boy & Diamond Platnumz),1393
2022-07-05 17:20,Victony,All Power,192284
2022-07-05 17:21,Ramin Djawadi,Dragonstone,0
2022-07-05 17:23,Burna Boy,Last Last,172341
2022-07-05 17:27,Wizkid,Ginger (feat. Burna Boy),196146
2022-07-05 17:30,Burna Boy,Pree Me,200501
2022-07-05 17:34,Burna Boy,Rockstar,35241
2022-07-05 17:34,Burna Boy,Ye,231617
2022-07-05 17:35,Pop Smoke,Enjoy Yourself (feat. Burna Boy) - Remix,3366
2022-07-05 17:39,Burna Boy,Want It All (feat. Polo G),232499
2022-07-05 17:42,Burna Boy,Gum Body (feat. Jorja Smith),195073
2022-07-05 17:42,Zlatan,Killin Dem,20455
2022-07-05 17:43,Burna Boy,Bank On It,4365
2022-07-05 17:43,Juls,Gwarn,1091
2022-07-05 17:43,Burna Boy,Secret (feat. Jeremih & Serani),2507
2022-07-05 17:46,Becky G,Rotate,16762
2022-07-05 17:46,Bnxn,Lenu - Remix,213266
2022-07-05 17:50,Burna Boy,JA ARA E,190107
2022-07-05 17:53,Burna Boy,B. D’OR (feat. Wizkid),189799
2022-07-05 17:56,Burna Boy,Odogwu,185993
2022-07-05 17:59,Burna Boy,Gbona,187608
2022-07-05 18:04,Burna Boy,More Life,92342
2022-07-05 18:08,Stormzy,Own It (feat. Ed Sheeran & Burna Boy),216706
2022-07-05 18:09,Dave,Location (feat. Burna Boy),255
2022-07-05 18:09,Burna Boy,Onyeka (Baby),812
2022-07-05 18:09,Burna Boy,Question (feat. Don Jazzy),60170
2022-07-05 18:09,Burna Boy,Real Life (feat. Stormzy),1834
2022-07-05 18:13,Burna Boy,Heaven's Gate (feat. Lily Allen),202446
2022-07-05 18:16,Burna Boy,Rock Your Body,221227
2022-07-05 18:19,Burna Boy,Kilometre,152823
2022-07-05 18:21,Mahalia,Simmer (feat. Burna Boy),167186
2022-07-05 18:26,Burna Boy,23,245919
2022-07-05 18:29,J Hus,Play Play (feat. Burna Boy),205639
2022-07-05 18:34,Burna Boy,Calm Down,265641
2022-07-05 18:37,Burna Boy,Soke,218866
2022-07-05 18:40,MIST,Rollin' (feat. Burna Boy),159667
2022-07-05 18:42,Justin Bieber,Loved By You (feat. Burna Boy),159249
2022-07-05 18:46,Burna Boy,Way Too Big,200412
2022-07-05 18:49,Dadju,Donne-moi l’accord,186599
2022-07-05 18:52,Burna Boy,Wonderful,213373
2022-07-05 18:56,Burna Boy,Monsters You Made (feat. Chris Martin),217540
2022-07-05 18:59,Burna Boy,Collateral Damage,197558
2022-07-05 19:00,Jorja Smith,Be Honest (feat. Burna Boy),18088
2022-07-05 19:00,Fall Out Boy,Sunshine Riptide,24977
2022-07-05 20:00,Rema,Oroma Baby,209697
2022-07-05 20:03,WSTRN,4 Ya,180934
2022-07-05 20:06,Rema,Jo,187562
2022-07-05 20:08,Robinson,Ayo Girl (Fayahh Beat) [feat. Rema],165215
2022-07-05 20:11,Rema,Mara,178408
2022-07-05 20:14,Cruel Santino,DEADMAN BONE (feat. Koffee),171537
2022-07-05 20:18,Davido,Gbagbe Oshi,206639
2022-07-05 20:22,D'Prince,One Shirt (feat. Jonzing World),266178
2022-07-05 20:25,Olamide,Infinity (feat. Omah Lay),171764
2022-07-05 20:28,Rema,Divine,213289
2022-07-05 20:32,Burna Boy,Outside (feat. Mabel),218250
2022-07-05 20:36,Davido,Coolest Kid in Africa (feat. Nasty C),228559
2022-07-05 20:40,DMW,Bum Bum,220198
2022-07-05 20:43,Crayon,Too Correct,208599
2022-07-05 20:46,Cruel Santino,WAY OF THE SERPENT,181345
2022-07-05 20:51,Rema,Addicted,270995
2022-07-05 20:54,Rema,FYN,207473
2022-07-05 20:57,Cruel Santino,I TOLD GUS I'M DREAMIN,163669
2022-07-05 21:00,Rema,Calm Down,219668
2022-07-05 21:03,Rema,Dumebi,179774
2022-07-05 21:06,Omah Lay,Bad Influence,138651
2022-07-05 21:09,Young Jonn,Dada (feat. Davido) [Remix],177692
2022-07-05 21:10,Rema,Fame - A COLORS ENCORE,111073
2022-07-05 21:14,Rema,Bounce,187781
2022-07-05 21:17,Rema,Carry,222189
2022-07-05 21:20,Omah Lay,You,163298
2022-07-05 21:23,WSTRN,Medusa (feat. Unknown T),193897
2022-07-05 21:25,Peruzzi,Somebody Baby,139635
2022-07-05 21:28,Ajebo Hustlers,Pronto,160776
2022-07-05 21:32,Rema,Soundgasm,204754
2022-07-05 21:32,JAE5,Dimension (feat. Skepta & Rema),53170
2022-07-05 21:40,Rema,Spaceship Jocelyn,199249
2022-07-05 21:47,Burna Boy,Ph City Vibration,118268
2022-07-05 21:47,Rema,Time N Affection,850
2022-07-05 21:58,Rema,Woman,238911
2022-07-05 22:05,Rema,Beamer (Bad Boys),84406
2022-07-05 22:06,Burna Boy,No Fit Vex,45870
2022-07-05 22:09,Omah Lay,understand,174544
2022-07-05 22:11,Rema,Lady,128593
2022-07-06 13:27,Justin Bieber,Honest (feat. Don Toliver),5350
2022-07-06 13:31,Small Doctor,Penalty,199680
2022-07-06 13:51,Small Doctor,Penalty,199680
2022-07-06 13:54,Lil Kesh,Don't Call Me (feat. Zinoleesky),178982
2022-07-06 13:54,Maleek Berry,The Matter (feat. Wizkid),2785
2022-07-06 13:58,"Popcaan ,Davido",My Story,34276
2022-07-06 13:58,Asake,Sungba,190791
2022-07-06 14:03,Awilo Longomba,Karolina,272212
2022-07-06 15:19,Small Doctor,Penalty,640
2022-07-06 15:19,Small Doctor,Mosquito Killer,0
2022-07-06 15:19,Chinko Ekun,Able God,0
2022-07-06 15:19,Maleek Berry,Own It,950
2022-07-06 15:19,Naira Marley,JAPA,13175
2022-07-06 15:19,2Baba,Amaka (feat. Peruzzi),0
2022-07-06 15:19,May D,Gat Me High,0
2022-07-06 15:19,Joey B,Chorkor Special,0
2022-07-06 15:19,Ajebutter22,Ghana Bounce,0
2022-07-06 15:23,Chinko Ekun,Able God,266968
2022-07-06 15:27,Small Doctor,Mosquito Killer,223049
2022-07-06 15:27,DJ Xclusive,Gimme Love,2050
2022-07-06 15:31,Wande Coal,Rotate,224574
2022-07-06 15:33,Asake,Mr Money,124055
2022-07-06 15:36,Aidonia,Yeah Yeah,222222
2022-07-06 15:40,Naira Marley,Mafo,213999
2022-07-06 15:44,Olu Maintain,Yahoozee Reloaded (feat. Lkt),261799
2022-07-06 15:46,Small Doctor,Soro Soke,124413
2022-07-06 15:48,SK,Ose,69353
2022-07-06 18:37,Maleek Berry,Bend It,140
2022-07-06 18:37,Falz,Jeje,750
2022-07-06 18:37,Sugarboy,Hola Hola,330
2022-07-06 18:37,Show Dem Camp,Up To You - Ikon Mix,680
2022-07-06 18:40,Maleek Berry,Bend It,199626
2022-07-06 18:42,Sugarboy,Hola Hola,116781
2022-07-06 18:45,Dice Ailes,Otedola,185115
2022-07-06 18:53,Larry Gaaga,Wonderful,1180
2022-07-06 18:53,Maleek Berry,4 Me,130
2022-07-06 18:53,Kida Kudz,Issa Vibe,0
2022-07-06 18:53,Olu Maintain,Yahooze,120
2022-07-06 18:53,Small Doctor,Oh My God (feat. Seriki),13532
2022-07-06 18:53,Cheqwas,Odoo,430
2022-07-06 18:55,Olu Maintain,Yahooze,96150
2022-07-06 18:58,Kida Kudz,Issa Vibe,211804
2022-07-06 19:02,Zinoleesky,Kilofeshe,2030
2022-07-06 19:02,Small Doctor,Remember,21100
2022-07-06 19:02,Maleek Berry,On Fire,950
2022-07-06 19:02,Yonda,Las Vegas,400
2022-07-06 19:02,Duncan Mighty,Dance for Me Ft Sandazblack,194363
2022-07-06 19:06,Naira Marley,PXTA,208580
2022-07-06 19:10,Ajebutter22,Lifestyle,241867
2022-07-06 19:13,Maleek Berry,Pon My Mind,2800
2022-07-06 19:13,Falz,Soft Work,205505
2022-07-06 19:13,Zinoleesky,Rocking,780
2022-07-06 19:13,Lil Kesh,Flenjo,450
2022-07-06 19:13,Small Doctor,Mandeman,12600
2022-07-06 19:22,Lynxxx,Fine Lady,680
2022-07-06 19:25,Rae Sremmurd,Denial,6821
2022-07-06 19:25,Rae Sremmurd,This Could Be Us,206306
2022-07-06 19:28,Rae Sremmurd,Come Get Her,165440
2022-07-06 19:33,Mike WiLL Made-It,Aries (YuGo) Part 2 (with Rae Sremmurd & Big Sean feat. Quavo & Pharrell),4915
